bs_id,bs_technology,bs_fc,bs_operator,bs_lat,bs_long,bs_power
bs_mno_2_gsm_1311,gsm,900,mno_2,51.868,-10.334,40
bs_mno_2_gsm_1314,gsm,900,mno_2,51.96,-10.232,40
bs_mno_2_gsm_1315,gsm,900,mno_2,51.831,-10.173,40
bs_mno_2_gsm_1312,gsm,900,mno_2,52.122,-10.309,40
bs_mno_2_gsm_1313,gsm,900,mno_2,52.136,-10.267,40
bs_mno_2_gsm_1316,gsm,900,mno_2,52.132,-10.151,40
bs_mno_2_gsm_1323,gsm,900,mno_2,51.822,-9.9771,40
bs_mno_2_gsm_1319,gsm,900,mno_2,52.174,-10.006,40
bs_mno_2_gsm_1320,gsm,900,mno_2,51.642,-9.9996,40
bs_mno_2_gsm_1330,gsm,900,mno_2,52.108,-9.7878,40
bs_mno_2_gsm_1317,gsm,900,mno_2,53.957,-10.027,40
bs_mno_2_gsm_1322,gsm,900,mno_2,54.221,-9.9819,40
bs_mno_2_gsm_1328,gsm,900,mno_2,53.906,-9.8101,40
bs_mno_2_gsm_1326,gsm,900,mno_2,53.692,-9.8341,40
bs_mno_2_gsm_1331,gsm,900,mno_2,54.148,-9.7344,40
bs_mno_2_gsm_1318,gsm,900,mno_2,53.488,-10.008,40
bs_mno_2_gsm_1321,gsm,900,mno_2,53.599,-9.9864,40
bs_mno_2_gsm_1324,gsm,900,mno_2,53.507,-9.9372,40
bs_mno_2_gsm_1325,gsm,900,mno_2,53.453,-9.8471,40
bs_mno_2_gsm_1329,gsm,900,mno_2,52.293,-9.8037,40
bs_mno_2_gsm_1334,gsm,900,mno_2,52.213,-9.7117,40
bs_mno_2_gsm_1339,gsm,900,mno_2,52.086,-9.6482,40
bs_mno_2_gsm_1335,gsm,900,mno_2,52.27,-9.7011,40
bs_mno_2_gsm_1336,gsm,900,mno_2,52.288,-9.6725,40
bs_mno_2_gsm_1332,gsm,900,mno_2,51.864,-9.7279,40
bs_mno_2_gsm_1327,gsm,900,mno_2,54.272,-9.8259,40
bs_mno_2_gsm_1341,gsm,900,mno_2,53.464,-9.6042,40
bs_mno_2_gsm_1346,gsm,900,mno_2,53.291,-9.5549,40
bs_mno_2_gsm_1345,gsm,900,mno_2,53.721,-9.5628,40
bs_mno_2_gsm_1350,gsm,900,mno_2,53.778,-9.5322,40
bs_mno_2_gsm_1351,gsm,900,mno_2,53.796,-9.5193,40
bs_mno_2_gsm_1347,gsm,900,mno_2,53.883,-9.5407,40
bs_mno_2_gsm_1344,gsm,900,mno_2,54.122,-9.575,40
bs_mno_2_gsm_1340,gsm,900,mno_2,52.524,-9.6057,40
bs_mno_2_gsm_1349,gsm,900,mno_2,52.269,-9.5369,40
bs_mno_2_gsm_1343,gsm,900,mno_2,52.145,-9.5779,40
bs_mno_2_gsm_1359,gsm,900,mno_2,52.233,-9.4601,40
bs_mno_2_gsm_1358,gsm,900,mno_2,52.461,-9.4641,40
bs_mno_2_gsm_1342,gsm,900,mno_2,51.9,-9.5841,40
bs_mno_2_gsm_1353,gsm,900,mno_2,52.046,-9.5041,40
bs_mno_2_gsm_1357,gsm,900,mno_2,52.076,-9.4655,40
bs_mno_2_gsm_1354,gsm,900,mno_2,51.862,-9.4997,40
bs_mno_2_gsm_1361,gsm,900,mno_2,54.208,-9.4375,40
bs_mno_2_gsm_1360,gsm,900,mno_2,51.666,-9.4417,40
bs_mno_2_gsm_1348,gsm,900,mno_2,51.559,-9.5401,40
bs_mno_2_gsm_1368,gsm,900,mno_2,51.906,-9.3814,40
bs_mno_2_gsm_1365,gsm,900,mno_2,52.047,-9.3923,40
bs_mno_2_gsm_1367,gsm,900,mno_2,52.265,-9.3836,40
bs_mno_2_gsm_1371,gsm,900,mno_2,52.374,-9.3723,40
bs_mno_2_gsm_1337,gsm,900,mno_2,53.122,-9.668,40
bs_mno_2_gsm_1356,gsm,900,mno_2,53.298,-9.4767,40
bs_mno_2_gsm_1370,gsm,900,mno_2,52.993,-9.3725,40
bs_mno_2_gsm_1338,gsm,900,mno_2,52.665,-9.6672,40
bs_mno_2_gsm_1355,gsm,900,mno_2,52.64,-9.4862,40
bs_mno_2_gsm_1362,gsm,900,mno_2,52.762,-9.422,40
bs_mno_2_gsm_1366,gsm,900,mno_2,52.577,-9.3897,40
bs_mno_2_gsm_1376,gsm,900,mno_2,51.941,-9.3045,40
bs_mno_2_gsm_1380,gsm,900,mno_2,52.72,-9.2893,40
bs_mno_2_gsm_1381,gsm,900,mno_2,52.387,-9.2873,40
bs_mno_2_gsm_1363,gsm,900,mno_2,53.441,-9.4188,40
bs_mno_2_gsm_1372,gsm,900,mno_2,53.543,-9.3629,40
bs_mno_2_gsm_1377,gsm,900,mno_2,53.378,-9.2977,40
bs_mno_2_gsm_1375,gsm,900,mno_2,53.244,-9.3064,40
bs_mno_2_gsm_1385,gsm,900,mno_2,51.836,-9.2269,40
bs_mno_2_gsm_1383,gsm,900,mno_2,52.194,-9.2771,40
bs_mno_2_gsm_1387,gsm,900,mno_2,52.085,-9.2136,40
bs_mno_2_gsm_1364,gsm,900,mno_2,53.818,-9.4001,40
bs_mno_2_gsm_1369,gsm,900,mno_2,53.925,-9.3732,40
bs_mno_2_gsm_1379,gsm,900,mno_2,53.865,-9.2957,40
bs_mno_2_gsm_1374,gsm,900,mno_2,53.79,-9.3396,40
bs_mno_2_gsm_1378,gsm,900,mno_2,53.853,-9.2961,40
bs_mno_2_gsm_1386,gsm,900,mno_2,53.624,-9.226,40
bs_mno_2_gsm_1389,gsm,900,mno_2,53.249,-9.1998,40
bs_mno_2_gsm_1382,gsm,900,mno_2,51.545,-9.2839,40
bs_mno_2_gsm_1393,gsm,900,mno_2,53.834,-9.1539,40
bs_mno_2_gsm_1397,gsm,900,mno_2,51.983,-9.145,40
bs_mno_2_gsm_1373,gsm,900,mno_2,52.879,-9.3482,40
